Job_Title,Company_Name,City_State,Company_Rating,salary_Range,Post_Date
Senior Fraud Data Analyst,RELX Group,"San Jose, CA",3.7,$88K-$158K (Glassdoor Est.),27d
Sr. Applied ML Scientist,Amazon,"Sunnyvale, CA",3.9,$135K-$210K (Glassdoor Est.),24d
Sr. Machine Learning Data Pipeline Engineer,Intuitive,"Sunnyvale, CA",5,NA,27d
Data Architect,NVIDIA,"Santa Clara, CA",4.7,$137K-$221K (Glassdoor Est.),24h
Senior Marketing Data Analyst,TSYS,"San Mateo, CA",3,$102K-$166K (Glassdoor Est.),5d
Big Data Engineer,Hash Technologies,"Sunnyvale, CA",3,NA,3d
Senior Data Analyst - Hadoop,"AMOAH ANALYTICS, LLC.","San Jose, CA",NA,NA,15d
Sr. Machine Learning Engineer - News,Apple,"Santa Clara, CA",4.2,$176K-$273K (Glassdoor Est.),14d
Sr. Data Analyst,Kodiak Sciences Inc.,"Palo Alto, CA",4.3,NA,24d
Regulatory Data Analyst,International Consulting Group (San Jose),"Cupertino, CA",NA,$66K-$102K (Glassdoor Est.),24d
Data Analyst/Product Owner(Payments/Finance/Accounting Industry Background),iknowvate technologies,"San Jose, CA",3.2,$49K-$89K (Glassdoor Est.),27d
"Data Analyst (SQL, Python)",Ursus,"Menlo Park, CA",4.5,NA,18d
"French Data Analyst - Cupertino, CA/Remote",Kelly,"Cupertino, CA",3.4,NA,4d
Data Analyst,Maxonic,"Pleasanton, CA",4.5,NA,4d
Data Engineer - Revenue Reconciliation,Kelly Mitchell Group,"San Jose, CA",3.4,NA,3d
Video Streaming - Data Science and Analytics Leader,Netflix,"Los Gatos, CA",4.1,$189K-$307K (Glassdoor Est.),22d
Sr or Principal Data Scientist,Freedom Financial,"San Mateo, CA",2.2,$108K-$172K (Glassdoor Est.),7d
Lead Data Analyst,Freedom Financial Network,"San Mateo, CA",NA,NA,3d
"Sr. Dir., Data Science, People Analytics",eBay,"San Jose, CA",3.7,$128K-$205K (Glassdoor Est.),12d
"Senior Machine Learning Scientist, Ad Traffic Quality",Google,"Sunnyvale, CA",4.5,$140K-$239K (Glassdoor Est.),7d
Data Engineer with Azure & Data Warehouse experience,CA-One Tech Cloud Inc,"Santa Clara, CA",NA,NA,24h
Big Data Engineer,"JAMY INTERACTIVE, INC","Santa Clara, CA",4.7,NA,15d
GCP Data Engineer with Billing Dashboard Expert,Yochana,"San Jose, CA",4.5,NA,20d
Analytical Scientist - Ingredient,Impossible Foods,"Redwood City, CA",3.6,$59K-$106K (Glassdoor Est.),15d
Polymer Scientist Materials Chemistry Consultant,Exponent,"Menlo Park, CA",3.6,$87K-$114K (Glassdoor Est.),11d
"Misinformation Data Analyst, Community Operations",Facebook,"Menlo Park, CA",4.6,$85K-$155K (Glassdoor Est.),24h
Sr. Machine Learning Engineer,Amazon,"Sunnyvale, CA",3.9,$135K-$210K (Glassdoor Est.),5d
Business Data Analyst : 20,Akraya Inc.,"San Jose, CA",4.6,NA,4d
Senior Data Scientist,Nauto,"Palo Alto, CA",3.6,$137K-$218K (Glassdoor Est.),15d
(Senior) Machine Learning Scientist - Computational Pathology,Tempus,"Redwood City, CA",3.3,$89K-$149K (Glassdoor Est.),24h
Applications Scientist,Bio-techne,"San Jose, CA",3.6,$68K-$105K (Glassdoor Est.),13d
"Lead Architect: Data, Machine Learning and Deep Learning",Danaher Digital,"San Jose, CA",NA,NA,5d
Associate/Scientist,Exponent,"Menlo Park, CA",3.6,$63K-$138K (Glassdoor Est.),27d
Senior Security Machine Learning Engineer,Netflix,"Los Gatos, CA",4.1,$164K-$278K (Glassdoor Est.),15d
Senior Data Scientist,Shutterfly,"Redwood City, CA",3.1,$119K-$188K (Glassdoor Est.),4d
Position: Data Engineer or Big Data Engineer With Health care,"Xiar, Inc","New Almaden, CA",NA,NA,12d
Machine Learning Engineer,Robby Technologies,"Palo Alto, CA",NA,NA,15d
Senior Data Scientist - Innovation (CBS) (Assistant Director) (Multiple Positions),EY,"San Jose, CA",3.8,$149K-$238K (Glassdoor Est.),27d
Staff Imaging Scientist - DP,Roche,"Santa Clara, CA",4.1,$115K-$174K (Glassdoor Est.),4d
Machine Learning Engineer,OnSpecta,"Palo Alto, CA",NA,NA,15d
"Data Science Manager, Messenger",Facebook,"Menlo Park, CA",4.6,$138K-$220K (Glassdoor Est.),24h
Data Engineer,Nyansa,"Palo Alto, CA",3.9,$112K-$134K (Glassdoor Est.),3d
Data Engineer,"Amick Brown, LLC","Sunnyvale, CA",4.9,NA,3d
Data Analyst,Kforce,"Livermore, CA",4.1,NA,3d
Big Data Engineering Architect,Comcast,"Sunnyvale, CA",3.7,$84K-$155K (Glassdoor Est.),21d
Process Scientist I,Kaztronix,"Fremont, CA",3.8,NA,14d
Data-Modeler-Oracle-Development,Celandyne Software Solutions,"Santa Clara, CA",NA,NA,15d
"Data Engineer - San Jose, California",NR Consulting LLC,"San Jose, CA",5,NA,24h
Application Scientist,"Bio-Rad Laboratories, Inc.","Pleasanton, CA",3.3,$60K-$95K (Glassdoor Est.),3d
Data Engineer,Advantage Resourcing,"Sunnyvale, CA",2.7,NA,24h
Machine learning engineer,Verantos,"Menlo Park, CA",5,NA,12d
Senior Staff Reliability Data Scientist,Rivian Automotive,"Palo Alto, CA",4,$184K-$298K (Glassdoor Est.),24h
Wireless Quantitative Data Analyst,Apple,"Santa Clara, CA",4.2,$65K-$113K (Glassdoor Est.),4d
"Data Engineer, Analytics (Payments Ecosystem)",Facebook,"Menlo Park, CA",4.6,$118K-$192K (Glassdoor Est.),15d
Data Engineer,Pixelberry Studios,"Mountain View, CA",4.9,NA,5d
Development Data Analyst,Second Harvest Food Bank of Santa Clara and San Mateo Counties,"San Jose, CA",4,NA,10d
Data Architect,Zoom,"San Jose, CA",2.4,NA,15d
MSI Data Engineer,Apple,"Santa Clara, CA",4.2,$119K-$206K (Glassdoor Est.),24h
VP of Data Science,Keewi,"Santa Clara, CA",NA,NA,15d
Senior Data Scientist,AutoGrid Systems,"Redwood City, CA",3.1,NA,26d
Data engineer,Stacklogy,"Fremont, CA",4.6,NA,15d
Big Data Engineer W2 position,smart folks inc,"Sunnyvale, CA",5,NA,24h
"Director, Data Science",Roku,"San Jose, CA",3.7,$176K-$280K (Glassdoor Est.),24h
Business Data Analyst,DHL,"Livermore, CA",4,NA,4d
Bioinformatics Data Analyst,Centrillion,"Palo Alto, CA",2.2,$60K-$74K (Glassdoor Est.),6d
Sr. Big Data Engineer (Remote),CrowdStrike,"Sunnyvale, CA",3.9,$139K-$253K (Glassdoor Est.),1d
Senior Data Scientist,Airtime,"Palo Alto, CA",4.3,$148K-$174K (Glassdoor Est.),7d
Senior Machine Learning Engineer,Lucid Motors,"Newark, CA",3.9,$130K-$211K (Glassdoor Est.),11d
Machine Learning Engineer,Snark AI,"Menlo Park, CA",NA,NA,15d
Machine Learning Engineer,Ethan Alexander Group,"Menlo Park, CA",NA,NA,19d
Hiring Data Engineer/ Full-Stack Developers,Scry Analytics,"San Jose, CA",3.8,$68K-$126K (Glassdoor Est.),17d
Data engineer,Maxonic,"Pleasanton, CA",4.5,NA,5d
IT Application Data Analyst Internship,RingCentral,"Belmont, CA",4.6,NA,11d
Google Cloud Business Intelligence Data Analyst,WebHelp,"Sunnyvale, CA",3.3,NA,24h
Senior Data Analyst,Sanmina Corporation,"San Jose, CA",3.1,$57K-$102K (Glassdoor Est.),15d
Software Engineer - Data,Juniper Networks,"Cupertino, CA",3.9,$80K-$155K (Glassdoor Est.),24h
HR Data Analyst (Workday EIB),IntelliPro Group Inc.,"Mountain View, CA",4.2,$55K-$105K (Glassdoor Est.),4d
Mathematical Scientist,Pit.AI Technologies Inc.,"San Jose, CA",NA,$81K-$121K (Glassdoor Est.),17d
Sr. Business Intelligence Analyst,212 Factors,"Santa Clara, CA",NA,NA,15d
Data Analyst – Spotfire,BrainyPro,"San Jose, CA",NA,NA,15d
Workday EIB Data Analyst,IntelliPro Group Inc.,"Mountain View, CA",4.2,$69K-$131K (Glassdoor Est.),4d
Sr. Data Engineer - Ecommerce (Remote),CrowdStrike,"Sunnyvale, CA",3.9,$138K-$252K (Glassdoor Est.),1d
"Research Scientist, Machine Learning/Reinforcement Learning",Nuro,"Mountain View, CA",4.3,$90K-$169K (Glassdoor Est.),8d
"Data Engineer, Analytics (Instagram Well Being)",Facebook,"Menlo Park, CA",4.6,$118K-$192K (Glassdoor Est.),7d
Data Scientist - Postdoctoral Research Staff Member,Lawrence Livermore National Lab,"Livermore, CA",4.7,$117K-$186K (Glassdoor Est.),14d
Assay Development Scientist,Ab Studio,"Hayward, CA",NA,NA,14d
Data Engineering Internship,Vectra,"San Jose, CA",2.8,NA,14d
Housing Navigator and Data Analyst,Bill Wilson center,"Santa Clara, CA",3.8,$43K-$78K (Glassdoor Est.),4d
Data Engineer,Itility,"San Jose, CA",3.2,NA,3d
Data Engineer,Yochana,"Fremont, CA",4.5,NA,24h
(USA) Senior Data Analyst - Ecomm,Walmart,"Sunnyvale, CA",3.3,$136K-$217K (Glassdoor Est.),24h
Data Engineer,"LotusFlare, Inc.","Sunnyvale, CA",4.1,$104K-$121K (Glassdoor Est.),21d
"Software Engineer, Data Platform",DoorDash,"Mountain View, CA",4,$82K-$163K (Glassdoor Est.),14d
Sr. Applied Scientist,Amazon,"Sunnyvale, CA",3.9,$37K-$321K (Glassdoor Est.),3d
Data Analyst,Virtusa,"Fremont, CA",3.2,$68K-$121K (Glassdoor Est.),12d
"Data Engineer, Partnerships Central Systems, Data & Tools",Facebook,"Menlo Park, CA",4.6,$115K-$187K (Glassdoor Est.),7d
Senior Machine Learning Engineer,Hiretual,"Mountain View, CA",3.1,NA,15d
Senior Computer Scientist,Adobe,"San Jose, CA",4.3,$116K-$173K (Glassdoor Est.),15d
"Data Engineering Lead, Apple Media Products Data Science & Analytics - Cupertino",Apple,"Santa Clara, CA",4.2,$124K-$200K (Glassdoor Est.),3d
Big Data Engineer,softsnippets,"Sunnyvale, CA",NA,NA,3d
Computational Project Scientist,Lawrence Berkeley Lab,"San Jose, CA",4.2,$59K-$93K (Glassdoor Est.),24h
"Bioinformatics Scientist I, Early Cancer Detection",Guardant Health,"Redwood City, CA",3.7,$92K-$148K (Glassdoor Est.),24h
Big Data Engineer,Expert Hiring,"Pleasanton, CA",2.6,NA,11d
"Data Science Manager, Instagram Well-being (Foundation)",Facebook,"Menlo Park, CA",4.6,$138K-$220K (Glassdoor Est.),24h
Data Engineer - Data Service Platform,PayPal,"San Jose, CA",3.9,$89K-$159K (Glassdoor Est.),15d
Regulatory Data Analyst,International Consulting Group Inc.,"Cupertino, CA",3.3,$60K-$109K (Glassdoor Est.),15d
"Senior Machine Learning Engineer, Infrastructure/Big Data",AppLovin,"Palo Alto, CA",4.8,$150K-$258K (Glassdoor Est.),25d
"Manager, Data Science, Commerce Engineering",Facebook,"Menlo Park, CA",4.6,$131K-$207K (Glassdoor Est.),24h
Remote Data Engineer,Edgesource Corporation,"Mountain View, CA",3.7,$72K-$133K (Glassdoor Est.),21d
Data Science Manager - Marketplace Integrity,Facebook,"Menlo Park, CA",4.6,$138K-$220K (Glassdoor Est.),24h
'DATA SCIENTIST',Enterprise Solutions Inc,"Sunnyvale, CA",3.9,NA,5d
Data Science Manager - Core Payments,Facebook,"Menlo Park, CA",4.6,$138K-$220K (Glassdoor Est.),24h
Research Scientist,DeepMind,"Mountain View, CA",5,NA,6d
Clinical Data Analyst,8k Miles,"Pleasanton, CA",3.8,NA,14d
Business Intelligence Analyst V - (B5),Applied Materials,"Santa Clara, CA",3.9,$124K-$223K (Glassdoor Est.),13d
Senior Machine Learning Applied Scientist (Ads Auction),Amazon,"Palo Alto, CA",3.9,$135K-$210K (Glassdoor Est.),11d
Senior Data Scientist,Tailored Brands,"Fremont, CA",3,$134K-$209K (Glassdoor Est.),18d
Research Scientist - Machine Learning and Image Analysis,HeartFlow,"Redwood City, CA",2.5,$94K-$191K (Glassdoor Est.),5d
Scientist,Pivot Bio,"Hayward, CA",4.1,$63K-$139K (Glassdoor Est.),2d
Data Engineer,Nextgen Technologies,"San Jose, CA",4.2,$61K-$117K (Glassdoor Est.),5d
Research Scientist - Astronomy,Lawrence Livermore National Lab,"Livermore, CA",4.7,$122K-$150K (Glassdoor Est.),19d
Network Operations Engineer - Data,Facebook,"Fremont, CA",4.6,$99K-$274K (Glassdoor Est.),24h
Hadoop Data Engineer,Cogent Infotech,"Sunnyvale, CA",4.1,NA,24h
Data Engineer (Lead) Public Content Monetization,Facebook,"Menlo Park, CA",4.6,$153K-$249K (Glassdoor Est.),24h
"""Data Engineer""",Yochana,"Fremont, CA",4.5,NA,20d
"Director/VP, Data Science, Business Opportunities",Facebook,"Menlo Park, CA",4.6,$290K-$451K (Glassdoor Est.),24h
Manager/Sr Manager Product Data Science,PayPal,"San Jose, CA",3.9,$181K-$286K (Glassdoor Est.),19d
SCIENTIST,CAMRIS International,"Mount Hamilton, CA",4.3,$93K-$127K (Glassdoor Est.),18d
Senior Machine Learning Scientist - Computational Pathology,Tempus Labs,"Redwood City, CA",3.3,$137K-$222K (Glassdoor Est.),12d
"Data Engineer, Analytics Lead (Ad Monetization and Delivery)",Facebook,"Menlo Park, CA",4.6,$153K-$249K (Glassdoor Est.),24h
Big Data Engineering Instructor,IntelliPro Group Inc.,"Santa Clara, CA",4.2,$58K-$111K (Glassdoor Est.),18d
Data Science Manager,Facebook,"Menlo Park, CA",4.6,$138K-$220K (Glassdoor Est.),24h
Staff Research Scientist,Upstart,"San Mateo, CA",4.4,$73K-$148K (Glassdoor Est.),18d
(Senior) Machine Learning Engineer - Tencent Games,Tencent,"Palo Alto, CA",4.3,$113K-$195K (Glassdoor Est.),14d
Sr. Applied Scientist,Microsoft,"Sunnyvale, CA",4.3,$32K-$248K (Glassdoor Est.),7d
Data Analyst,Triune Infomatics Inc,"Redwood City, CA",5,NA,15d
AI Research Scientist – Perception in Mixed Reality & Robotics,Bosch Group,"Sunnyvale, CA",4.1,$93K-$188K (Glassdoor Est.),24h
AWS Data Engineer,Rivian Automotive,"Palo Alto, CA",4,$107K-$190K (Glassdoor Est.),24h
Opening for Big Data Engineer role,RulesIQ LLC,"San Jose, CA",NA,NA,24h
Lead Machine Learning Engineer - IPO path & Mobile messenging platform,Relentless Talent,"San Jose, CA",NA,NA,21d
Senior Machine Learning Engineer,Virtualfair,"Mountain View, CA",NA,NA,15d
"Reporting and Analytics Manager, Product",Equinix,"Sunnyvale, CA",4.2,$60K-$125K (Glassdoor Est.),21d
Prediction - Research Engineer/Research Scientist,"TuSimple, Inc.","Mountain View, CA",3.8,$98K-$163K (Glassdoor Est.),4d
Big Data Engineer - Software Engineer II,NCR,"Redwood City, CA",3.5,$63K-$123K (Glassdoor Est.),14d
Senior SQL Data Engineer,The Mom Project,"Sunnyvale, CA",4.7,NA,11d
Planning - Research Engineer/Research Scientist,"TuSimple, Inc.","Mountain View, CA",3.8,$98K-$163K (Glassdoor Est.),4d
Sr Artificial Intelligence and Machine Learning Engineer,"nexus IT group, Inc.","Mountain View, CA",NA,NA,26d
"Senior Machine Learning Engineer, Infrastructure/Big Data",MachineZone,"Palo Alto, CA",2.9,$81K-$141K (Glassdoor Est.),4d
Data Engineer (Python/SQL/Hive),Boston Services,"San Jose, CA",NA,NA,24h
"Data Science Manager, Instagram Ranking",Facebook,"Menlo Park, CA",4.6,$138K-$220K (Glassdoor Est.),24h
Data Science Manager - FB Shops,Facebook,"Menlo Park, CA",4.6,$138K-$220K (Glassdoor Est.),24h
"Software Engineer, Data Platform",Tesla,"Palo Alto, CA",3.5,$75K-$148K (Glassdoor Est.),18d
Research Scientist flexible US,eBay Inc.,"San Jose, CA",3.7,$127K-$247K (Glassdoor Est.),24h
Sensory Scientist,Juul Labs,"Mountain View, CA",3.3,$85K-$173K (Glassdoor Est.),24h
Toad Data Modeler,smart folks inc,"San Ramon, CA",5,NA,3d
"Apple Media Products - Big Data Analyst, Analytics Engineering",Apple,"Santa Clara, CA",4.2,$65K-$113K (Glassdoor Est.),10d
Lead Data Scientist,Perfect World Entertainment North America,"Redwood City, CA",NA,NA,24d
Director of Data Science,ZineOne,"Milpitas, CA",4.5,NA,15d
"Data Engineer, Sanjose",Kutir Technologies,"San Jose, CA",3.5,$101K-$178K (Glassdoor Est.),4d
Sr. Machine Learning Engineer,Egnyte,"Mountain View, CA",4,$132K-$228K (Glassdoor Est.),14d
Data Analyst-Senior Data Analyst,Allakos,"Redwood City, CA",NA,NA,14d
"Data Engineer, GMS",Facebook,"Menlo Park, CA",4.6,$106K-$175K (Glassdoor Est.),26d
Data Analyst,United One Solutions,"Newark, CA",NA,NA,15d
Health Data Analyst,Pinkerton,"Fremont, CA",3.3,$46K-$82K (Glassdoor Est.),10d
Research Data Analyst 2,Stanford University School of Medicine,"Stanford, CA",4.1,$52K-$93K (Glassdoor Est.),3d
"Data Engineer, Mission Control",Facebook,"Menlo Park, CA",4.6,$106K-$175K (Glassdoor Est.),9d
Research Data Analyst 2,Stanford University,"Stanford, CA",4.3,$50K-$93K (Glassdoor Est.),4d
"Data Engineering Manager, Analytics",Facebook,"Menlo Park, CA",4.6,$144K-$235K (Glassdoor Est.),24h
Data Engineer - Threat Analysis,Ursus,"Menlo Park, CA",4.5,NA,17d
Senior Data Scientist,Fracta,"Redwood City, CA",4.3,NA,26d
"Assay Development Scientist, Genomics",General Automation Lab Technologies,"San Carlos, CA",NA,NA,15d
Senior Data Scientist,Lattice Engines,"San Mateo, CA",3.7,$191K-$197K (Glassdoor Est.),24d
(Senior)Machine Learning Engineer,Glodon USA,"Sunnyvale, CA",3.7,NA,12d
Research Scientist,Lacuna Technologies,"Palo Alto, CA",5,$81K-$121K (Glassdoor Est.),4d
Senior Data Scientist,Govzilla,"Pleasanton, CA",5,NA,19d
"Risk Data Analyst, News and Discover",Google,"Sunnyvale, CA",4.5,$85K-$160K (Glassdoor Est.),21d
Scientist 1,Illumina,"Foster City, CA",4,$65K-$129K (Glassdoor Est.),3d
Applications Scientist,Molecular Devices,"San Jose, CA",3,$76K-$120K (Glassdoor Est.),27d
Data Analyst with Python,Decision Minds India,"Santa Clara, CA",3.6,NA,15d
Bioinformatics Scientist (contractor),Ascent Services Group,"San Jose, CA",4.4,NA,2d
Sr. Director Data Science,Micron,"San Jose, CA",3.6,$252K-$394K (Glassdoor Est.),15d
Looker Developer/ Data Engineer,Kani Soutions,"San Jose, CA",NA,NA,26d
"Research Scientist, Disinformation and Fake Media Mitigation",Google,"Mountain View, CA",4.5,$120K-$225K (Glassdoor Est.),5d
Senior or Staff Data Scientist,"GRAIL, Inc.","Menlo Park, CA",4,NA,15d
"Director, Data Science",Edison Software,"San Jose, CA",5,NA,18d
Data Engineer - Intern,Wealthfront,"Palo Alto, CA",4.4,NA,24h
"Senior Bioinformatics Scientist, Lunar - Data Science",Guardant Health,"Redwood City, CA",3.7,$103K-$162K (Glassdoor Est.),19d
Software Engineer - Data,Aisera,"Palo Alto, CA",4.5,NA,6d
"Data Science Manager, Analytics Ads & Business Platform",Facebook,"Menlo Park, CA",4.6,$138K-$220K (Glassdoor Est.),24h
Senior Machine Learning Scientist - Bay,Tempus,"Redwood City, CA",3.3,$92K-$152K (Glassdoor Est.),15d
"Data Specialists Manager, Developer Operations",Facebook,"Sunnyvale, CA",4.6,$114K-$217K (Glassdoor Est.),24h
Lead Data Scientist,Electronic Arts,"Redwood City, CA",4,$85K-$137K (Glassdoor Est.),21d
Deep Learning Research Scientist Engineering Intern,"Samsung Semiconductor, Inc.","San Jose, CA",3.5,NA,17d
People Analytics Consultant - Remote,Varian Medical Systems,"Palo Alto, CA",3.9,$95K-$139K (Glassdoor Est.),27d
Research Data Scientist,Facebook,"Washington, DC",4.6,$86K-$142K (Glassdoor Est.),24h
"Data Scientist, Product Analytics",Facebook,"Washington, DC",4.6,$96K-$154K (Glassdoor Est.),24h
Sr Business Intelligence Analyst - Python / Government / Military experience and active TS/SCI required,General Dynamics Information Technology,"Washington, DC",3.6,$87K-$162K (Glassdoor Est.),3d
Geospatial Data Engineer (TS/SCI-Full Scope Polygraph),"New Light Technologies, Inc.","McLean, VA",5,NA,10d
Senior Big Data Engineer,GEICO,"Chevy Chase, MD",3.4,$62K-$117K (Glassdoor Est.),4d
Data Scientist Risk Analyst,Oasis Systems LLC,"Washington, DC",3.8,$50K-$92K (Glassdoor Est.),13d
Data Scientist,NT Concepts,"Chantilly, VA",3.6,$72K-$121K (Glassdoor Est.),20d
Data Scientist BSLEF8,E3 Federal Solutions,"Alexandria, VA",4.4,$57K-$97K (Glassdoor Est.),18d
"Scientist, Assay Development",IDT Biologika,"Rockville, MD",3.6,NA,18d
Data Scientist active TS/SCI,LMI,"Fort Belvoir, VA",4.3,$83K-$136K (Glassdoor Est.),18d
Senior Data Analyst,GEICO,"Chevy Chase, MD",3.4,$83K-$141K (Glassdoor Est.),4d
Data Scientist,"Sickle Cell Disease Association of America, Inc.","Hanover, MD",1.4,NA,20d
Data Scientist,Varen Technologies,"McLean, VA",4.2,$82K-$136K (Glassdoor Est.),13d
Data Analytics Engineer,QOMPLX,"Tysons Corner, VA",3.4,NA,12d
Spark/Big Data Engineer,GEICO,"Chevy Chase, MD",3.4,$52K-$101K (Glassdoor Est.),4d
Geospatial Data Engineer with TS/SCI Clearance,General Dynamics,"Springfield, VA",3.6,$55K-$96K (Glassdoor Est.),6d
Aviation Data Scientist and Machine Learning Engineer,MITRE,"McLean, VA",3.3,$106K-$182K (Glassdoor Est.),6d
Data Scientist,"Assured Information Security, Inc. (AIS)","Fort Meade, MD",4.3,$93K-$152K (Glassdoor Est.),4d
Sr. Data Engineer,Excella,"Washington, DC",4.2,$78K-$144K (Glassdoor Est.),26d
Innovation Applied Data Scientist,Noblis,"Washington, DC",3.9,$60K-$102K (Glassdoor Est.),11d
Senior Research Scientist – Security and Privacy,Riverside Research,"Crystal City, VA",3.4,$87K-$175K (Glassdoor Est.),27d
Senior Scientist - Learning Technology,Quantum Improvements Consulting,"Washington, DC",5,NA,18d
Senior Data Scientist with Top Secret,OneGlobe LLC,"Washington, DC",4.4,$109K-$180K (Glassdoor Est.),3d
Data Analyst,Excella Consulting,"Arlington, VA",4.2,$43K-$80K (Glassdoor Est.),26d
Data Scientists with TS/SCI,HRUCKUS,"Springfield, VA",5,NA,17d
Sr. Data Visualization Developer,Axle Informatics,"Rockville, MD",3.9,$70K-$119K (Glassdoor Est.),11d
Physical Scientist,"ENSCO, Inc.","Springfield, VA",3.8,$39K-$72K (Glassdoor Est.),3d
Contract Data Analyst,"Amyx, Inc.","Arlington, VA",4,$54K-$98K (Glassdoor Est.),3d
Sr. Electric Utility Business Intelligence and Data Analyst,National Rural Utilities Cooperative Finance Corporation,"Dulles, VA",3.4,$62K-$111K (Glassdoor Est.),12d
Data Scientist-Junior,Perspecta,"Washington, DC",3.3,$44K-$76K (Glassdoor Est.),14d
Aviation Data Scientist & Machine Learning Engineer,MITRE,"McLean, VA",3.3,$106K-$182K (Glassdoor Est.),26d
Aviation AI/ML Data Scientist,MITRE,"McLean, VA",3.3,$109K-$186K (Glassdoor Est.),6d
Data Scientist - Defense & Intelligence,Elder Research Inc,"Arlington, VA",3.8,$63K-$104K (Glassdoor Est.),11d
Data Scientist,National Security Agency,"Fort Meade, MD",3.8,$70K-$116K (Glassdoor Est.),13d
Artificial Intelligence/Machine Learning Data Scientist,MITRE,"McLean, VA",3.3,$68K-$114K (Glassdoor Est.),20d
Data Scientist - AI/ML Specialist,Maxar Technologies,"McLean, VA",3.5,$75K-$125K (Glassdoor Est.),25d
Research Scientist,"Metron, Inc.","Reston, VA",3,NA,21d
Machine Learning - Computer Scientist,MITRE,"McLean, VA",3.3,$109K-$186K (Glassdoor Est.),6d
Software Engineer - Data Visualization,ClearEdge,"Annapolis Junction, MD",4.1,$60K-$127K (Glassdoor Est.),24d
Big Data Analyst BSLEP7,E3 Federal Solutions,"Alexandria, VA",4.4,$44K-$80K (Glassdoor Est.),18d
Psychometrics and Quantitative Research Consultants,Center for Applied Linguistics,"Washington, DC",2.8,$33K-$76K (Glassdoor Est.),26d
Data Engineering Lead,Excella Consulting,"Arlington, VA",4.2,$85K-$153K (Glassdoor Est.),12d
Data Scientist,Leidos,"Bethesda, MD",3.6,$76K-$127K (Glassdoor Est.),24d
Computer Scientist – Machine Learning,MITRE,"McLean, VA",3.3,$97K-$169K (Glassdoor Est.),6d
Data Engineer,NT Concepts,"Chantilly, VA",3.6,$64K-$120K (Glassdoor Est.),18d
Data Scientist - Clearance Required,"Akima, LLC","McLean, VA",3.3,$76K-$126K (Glassdoor Est.),6d
Data Scientist,Novetta,"Columbia, MD",4.5,$104K-$172K (Glassdoor Est.),3d
Data Scientist,Artlin Consulting,"Alexandria, VA",4.1,NA,12d
Machine Learning Engineer,"Expedition Technology, Inc.","Herndon, VA",5,$76K-$109K (Glassdoor Est.),3d
Data Engineer,Applied Information Sciences,"Chevy Chase, MD",4.4,$63K-$120K (Glassdoor Est.),13d
Data Analyst I,Marys Center For Maternal and Child Care,"Washington, DC",3.3,$35K-$62K (Glassdoor Est.),5d
Data Engineer with Top Secret,OneGlobe LLC,"Washington, DC",4.4,$90K-$162K (Glassdoor Est.),3d
Signal and Information Processing Research Scientist,"Metron, Inc.","Reston, VA",3,NA,21d
Geospatial Programmer/Data Scientist,Maxar Technologies,"Chantilly, VA",3.5,$79K-$130K (Glassdoor Est.),25d
Research Scientist - Autonomous Systems,"Metron, Inc.","Reston, VA",3,NA,21d
Computer Science Machine Learning Engineer,MITRE,"McLean, VA",3.3,$97K-$169K (Glassdoor Est.),6d
"Director, Data Science",CAQH,"Washington, DC",4.3,$122K-$194K (Glassdoor Est.),6d
Data Engineer,Astor & Sanders Corp,"Washington, DC",3.1,$58K-$110K (Glassdoor Est.),7d
Senior Data Analytics/Scientist,"Kingfisher Systems, Inc.","Bethesda, MD",4.5,$73K-$123K (Glassdoor Est.),3d
"Assistant Director, Data Stewardship",American Geophysical Union,"Washington, DC",3.6,$34K-$73K (Glassdoor Est.),17d
Program Data Analyst,XLA Associates,"Washington, DC",3.4,$42K-$77K (Glassdoor Est.),3d
Data Science All Star Program - Marketing Analytics Track,Blend360,"Columbia, MD",4.5,NA,11d
Senior Marketing Data Analyst,"Membership Marketing Partners, LLC","Alexandria, VA",2,NA,3d
"Data Scientist / Program Scheduler, Junior - FAA",Cobec Consulting,"Washington, DC",4.8,$48K-$85K (Glassdoor Est.),3d
Senior Data Scientist,AstraZeneca,"Gaithersburg, MD",4.1,$107K-$173K (Glassdoor Est.),24d
Senior Data Scientist - Polygraph,"CGI Group, Inc.","Chantilly, VA",3.6,$96K-$157K (Glassdoor Est.),17d
AI Ops Data Scientist,AstraZeneca,"Gaithersburg, MD",4.1,$116K-$141K (Glassdoor Est.),14d
Senior Data Engineer,Novetta,"Reston, VA",4.5,$67K-$127K (Glassdoor Est.),3d
Data Science All Star Program - Data Scientist Track,Blend360,"Columbia, MD",4.5,$60K-$104K (Glassdoor Est.),25d
Data Engineer,Excella Consulting,"Arlington, VA",4.2,$60K-$114K (Glassdoor Est.),26d
Data Scientist III,Perspecta,"McLean, VA",3.3,$78K-$128K (Glassdoor Est.),14d
"Intelligence Data Analyst, Senior",The Buffalo Group,"Fort Belvoir, VA",4.3,$77K-$104K (Glassdoor Est.),21d
Senior Outreach Data Scientist,"Salient CRGT, Inc","McLean, VA",3.4,$104K-$169K (Glassdoor Est.),3d
Data Analyst,CACI International,"Chantilly, VA",3.8,$60K-$87K (Glassdoor Est.),27d
Software Engineer - Data Science,ClearEdge,"Annapolis Junction, MD",4.1,$60K-$127K (Glassdoor Est.),24d
