Job_Title,Company_Name,City_State,Company_Rating,salary_Range,Post_Date
New Graduate - Enterprise Data & Analytics (EDA) - Data Scientist,VMware,"Palo Alto, CA",4.2,$94K-$151K (Glassdoor Est.),19d
Staff BI and Data Engineer,Affinity Solutions,"San Jose, CA",3.2,$105K-$124K (Glassdoor Est.),12d
Sr or Principal Data Scientist,Freedom Financial Network,"San Mateo, CA",3.4,$104K-$167K (Glassdoor Est.),10d
Data Scientist,PubMatic,"Redwood City, CA",4.1,$115K-$184K (Glassdoor Est.),19d
Data Scientist (2 Year Fixed Term),Stanford University School of Medicine,"Stanford, CA",4.1,$91K-$146K (Glassdoor Est.),14d
"Analyst, CX Data Science",TriNet,"Dublin, CA",3.3,$112K-$176K (Glassdoor Est.),26d
Senior Data Analyst,Emendata,"Burlingame, CA",NA,NA,15d
Software Engineer in Big Data Infra,PayPal,"San Jose, CA",3.9,$92K-$170K (Glassdoor Est.),13d
Data Scientists,Frontend Arts,"San Jose, CA",4.5,NA,22d
Data Scientist and AI Engineer,SKT Lab,"Santa Clara, CA",NA,NA,18d
Data Scientist / Engineer,"LotusFlare, Inc.","Santa Clara, CA",4.1,NA,17d
Senior Scientist,Quantum Improvements Consulting,"San Jose, CA",5,NA,16d
"Data Scientist, Machine Learning",Next Insurance,"Palo Alto, CA",4.5,NA,6d
Sr. Manager / Principal Engineer - Big Data,Fanatics,"San Mateo, CA",3.4,$210K-$361K (Glassdoor Est.),18d
DATA Scientist,Frontend Arts,"San Jose, CA",4.5,NA,22d
Senior Finance Data Analyst,Qualys,"Foster City, CA",3.2,$81K-$142K (Glassdoor Est.),24d
Data Scientist - Business Growth,JD.com,"Mountain View, CA",3.7,$112K-$181K (Glassdoor Est.),24h
"Data Scientist, Analytics",Facebook,"Menlo Park, CA",4.6,$108K-$174K (Glassdoor Est.),21d
Machine Learning Data Scientist,Intel Corporation,"Santa Clara, CA",4.1,$115K-$181K (Glassdoor Est.),3d
Research Scientist (Machine Learning and Artificial Intelligence),Samsung Research America,"Mountain View, CA",3.8,$101K-$175K (Glassdoor Est.),4d
Data Scientist,Flexton,"Santa Clara, CA",4.1,$100K-$136K (Glassdoor Est.),5d
Research Scientist (Computational Biology),Baidu USA,"Sunnyvale, CA",4.2,$82K-$131K (Glassdoor Est.),20d
Data Scientist,ByteDance,"Mountain View, CA",3.8,$69K-$116K (Glassdoor Est.),5d
Data Scientist 1,PayPal,"San Jose, CA",3.9,$94K-$152K (Glassdoor Est.),14d
"Data Science Engineer, Recent Graduate",eBay Inc.,"San Jose, CA",3.7,$93K-$164K (Glassdoor Est.),15d
"Data Scientist, Product Analytics - Ads Ranking",Facebook,"Menlo Park, CA",4.6,$119K-$188K (Glassdoor Est.),24h
Staff Software Engineer - Data Platform,Strivr,"Palo Alto, CA",4.5,$87K-$173K (Glassdoor Est.),24d
Data Scientist III,Astreya,"San Jose, CA",3.3,NA,14d
"Data Scientist, Analytics",Next Insurance,"Palo Alto, CA",4.5,NA,6d
"Data Scientist - Analytics, Trust & Safety",ByteDance,"Mountain View, CA",3.8,$69K-$116K (Glassdoor Est.),14d
Senior Data Scientist,Cyntekk,"Palo Alto, CA",NA,NA,6d
Data Scientist,Jabil,"San Jose, CA",3.8,$88K-$119K (Glassdoor Est.),26d
"Data Scientist, Legal",Facebook,"Menlo Park, CA",4.6,$108K-$174K (Glassdoor Est.),24h
Staff / Senior Staff Clinical Scientist,GRAIL,"Menlo Park, CA",3.7,$ 59-$ 96 Per Hour(Glassdoor Est.),7d
Data Scientist (2 Year Fixed Term),Stanford University,"Stanford, CA",4.3,$75K-$123K (Glassdoor Est.),15d
Data Scientist Intern (Summer 2021),C3.ai,"Redwood City, CA",4.5,$112K-$178K (Glassdoor Est.),6d
Data Scientist,Lawrence Livermore National Lab,"Livermore, CA",4.7,$125K-$156K (Glassdoor Est.),7d
"Data Scientist, Networking",ByteDance,"Mountain View, CA",3.8,$78K-$129K (Glassdoor Est.),6d
"Data Scientist, Toolbox Software",Tesla,"Palo Alto, CA",3.5,$97K-$154K (Glassdoor Est.),6d
Data Scientist,ELT Solutions,"San Jose, CA",NA,NA,7d
"Data Scientist - Fraud Engineering, Algorithms, and Risk",Apple,"Santa Clara, CA",4.2,$117K-$154K (Glassdoor Est.),19d
Vitria Data Scientist,Vitria Technology,"Menlo Park, CA",3.5,$115K-$154K (Glassdoor Est.),4d
Data Scientist,SAP,"Palo Alto, CA",4.6,$95K-$151K (Glassdoor Est.),24h
Data Scientist,Savari,"Santa Clara, CA",3.6,$66K-$109K (Glassdoor Est.),15d
Data Scientist,Facebook,"Fremont, CA",4.6,$108K-$174K (Glassdoor Est.),14d
"Manager, Data Science - Growth Machine Learning",Livongo,"Mountain View, CA",4.7,$106K-$171K (Glassdoor Est.),13d
Data Scientist,Waymo,"Mountain View, CA",2.9,$88K-$134K (Glassdoor Est.),7d
"Data Scientist, Machine Learning",One Concern,"Menlo Park, CA",3.4,NA,4d
Data Scientist I,"Central Business Solutions, Inc","Santa Clara, CA",3,$65K-$108K (Glassdoor Est.),10d
"Data Scientist, Payments Data Science, WPC Analytics - SCV",Apple,"Santa Clara, CA",4.2,$115K-$183K (Glassdoor Est.),19d
Data Scientist - Entry Level,Lawrence Livermore National Lab,"Livermore, CA",4.7,$88K-$142K (Glassdoor Est.),20d
"Data Scientist - Analytics, Trust & Safety",TikTok,"Mountain View, CA",4.1,NA,14d
NLP Data Scientist,Aisera,"Palo Alto, CA",4.5,NA,24d
Senior Machine Learning Engineer,Entefy,"Palo Alto, CA",4.3,$123K-$146K (Glassdoor Est.),11d
Data Scientist,Apple,"Santa Clara, CA",4.2,$115K-$183K (Glassdoor Est.),3d
Senior Scientist,Akoya Biosciences,"Menlo Park, CA",3.8,NA,27d
Upstart - Data Scientist,V3 Talent Partners Inc.,"San Carlos, CA",NA,$110K-$143K (Glassdoor Est.),5d
Data Scientist,Q Systems,"Palo Alto, CA",3.2,NA,24d
"Data Scientist, Analytics - Messaging Platform",Facebook,"Menlo Park, CA",4.6,$119K-$188K (Glassdoor Est.),24h
Data Scientist,Citrine Informatics,"Redwood City, CA",4.6,NA,19d
"Senior Scientist, in Vivo Pharmacology",Recursion Pharmaceuticals,"Milpitas, CA",4.6,$115K-$216K (Glassdoor Est.),20d
Data Engineer,L&T Infotech,"San Jose, CA",3.6,$73K-$130K (Glassdoor Est.),24h
Data Scientist,Big Data Federation,"Santa Clara, CA",NA,NA,15d
Machine Learning Scientist,PlusAI,"Cupertino, CA",5,$96K-$161K (Glassdoor Est.),3d
Data Scientist - Metrics & Product Validation,Aurora,"Palo Alto, CA",4.7,$108K-$173K (Glassdoor Est.),14d
Data Scientist,Safeway Inc,"Pleasanton, CA",3.2,$77K-$124K (Glassdoor Est.),24h
"Data Scientist, Operations Data Science",Google,"Mountain View, CA",4.5,$118K-$193K (Glassdoor Est.),11d
Data Scientist,"Dawar Consulting, Inc.","San Mateo, CA",NA,NA,18d
Data Scientist 2,PayPal,"San Jose, CA",3.9,$112K-$178K (Glassdoor Est.),18d
Data Scientist,Natera,"San Carlos, CA",4,$89K-$142K (Glassdoor Est.),21d
"Data Scientist, Analytics",Evernote,"Redwood City, CA",4.1,$119K-$191K (Glassdoor Est.),5d
Data Scientist - TikTok Ads,TikTok,"Mountain View, CA",4.1,NA,17d
Machine Learning Engineer,CloudMedx,"Palo Alto, CA",5,NA,17d
Principal Level Data Engineer,Freedom Financial Network,"San Mateo, CA",3.4,$110K-$194K (Glassdoor Est.),10d
Sr Data Engineer #6580,Fanatics,"San Mateo, CA",3.4,$157K-$270K (Glassdoor Est.),17d
"Data Scientist, SBG",Facebook,"Menlo Park, CA",4.6,$108K-$174K (Glassdoor Est.),24h
"Data Scientist, Analytics - AI Commerce",Facebook,"Menlo Park, CA",4.6,$126K-$198K (Glassdoor Est.),24h
Data Scientist,C3.ai,"Redwood City, CA",4.5,$111K-$175K (Glassdoor Est.),13d
Jr. Data Scientist,Potrero Medical Inc.,"Hayward, CA",4.2,NA,13d
Senior Data Scientist,Intuit,"Mountain View, CA",4.6,$118K-$189K (Glassdoor Est.),17d
Data Scientist,McAfee,"San Jose, CA",3.6,$107K-$170K (Glassdoor Est.),3d
Data Scientist - Fraud Analytics,DiDi Labs,"Mountain View, CA",NA,NA,24d
"Product Analyst, Data Science",Google,"Mountain View, CA",4.5,$60K-$106K (Glassdoor Est.),24h
"Data Scientist, Autonomy Systems",Nuro,"Mountain View, CA",4.3,$98K-$157K (Glassdoor Est.),21d
Applied Data Scientist,Spring Discovery,"San Carlos, CA",4,NA,7d
Data Scientist,Sartorius,"Fremont, CA",3.6,$82K-$131K (Glassdoor Est.),21d
Sr. Data Scientist,Samsung Research America,"Mountain View, CA",3,$137K-$218K (Glassdoor Est.),24h
"AI/ML - Embedded Data Scientist, Siri Data",Apple,"Santa Clara, CA",4.2,$117K-$186K (Glassdoor Est.),4d
Machine Learning Scientist,Health at Scale Corporation,"San Jose, CA",NA,NA,25d
Data Scientist,Kelly,"Foster City, CA",3.4,NA,18d
Marketing Data Scientist,Google,"Mountain View, CA",4.5,$118K-$193K (Glassdoor Est.),12d
Data Scientist (Intern) - United States,Cisco Systems,"San Jose, CA",4.2,NA,4d
Data Scientist (Multiple Levels),Plume,"Palo Alto, CA",5,NA,24h
Statistical Scientist,Exponent,"Menlo Park, CA",3.6,$86K-$97K (Glassdoor Est.),14d
Annotations Scientist,23andMe,"Sunnyvale, CA",4.2,$68K-$141K (Glassdoor Est.),14d
"Data Scientist, Finance",Facebook,"Menlo Park, CA",4.6,$119K-$188K (Glassdoor Est.),24h
Data Scientist,"Upstart Network, Inc.","San Mateo, CA",4.4,$114K-$182K (Glassdoor Est.),24h
"Data Scientist, Analytics - Messaging Search",Facebook,"Menlo Park, CA",4.6,$119K-$188K (Glassdoor Est.),24d
"Data Scientist, Auction and Delivery",Facebook,"Menlo Park, CA",4.6,$121K-$192K (Glassdoor Est.),3d
Sr. Staff Data Analyst - Marketing Analytics Manager,Freedom Financial Network,"San Mateo, CA",3.4,$86K-$154K (Glassdoor Est.),5d
Data Engineer,Phantom AI,"Burlingame, CA",5,NA,14d
Machine Learning Engineer I,Intelligence Communications and Engineering ,"Livermore, CA",4.7,NA,19d
Data Scientist,"Farmer's Business Network, Inc.","San Carlos, CA",3.3,$111K-$177K (Glassdoor Est.),11d
Data Science,Aible,"Foster City, CA",5,$106K-$143K (Glassdoor Est.),24d
Data Scientist,Gayathri's Sandbox,"Menlo Park, CA",NA,NA,10d
Data Scientist,Mobileum,"Cupertino, CA",3,$90K-$146K (Glassdoor Est.),18d
